Title,Price,Area,BHK,Bathrooms,Furnished,Floor,Facing,Amenities,Transaction Type,Property Type,Location,Year of Construction,Locality,Society,price_2022,price_2020,price_2018,price_2016,price_2014,price_2012,price_2010,price_2008,price_2006,price_2004,price_2002,price_2000,price_1998,price_1996,price_1994
1BHK Multistorey Apartment for Rent in Bandra West,70000.0,750.0,1.0,1.0,Furnished,7.0,South -West,Main Road,Rent,Apartment,Mumbai,2012.0,Bandra West,Bandra West,63492.06349206349,57589.17323543173,52235.07776456392,47378.75534200809,42973.92774785314,,,,,,,,,,
3BHK Multistorey Apartment for Rent in Lodha New Cuffe Parade at Wadala East,140000.0,1980.0,3.0,4.0,Unfurnished,21.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1994.0,Wadala,Lodha New Cuffe Parade,126984.12698412698,115178.34647086346,104470.15552912783,94757.51068401618,85947.85549570627,77957.2385448583,70709.5134193726,64135.61307879601,58172.89168144762,52764.527602220056,47858.981952127026,43409.507439571,39373.70289303492,35713.109200031664,
3BHK Multistorey Apartment for Rent in Rustomjee Elanza at Malad West,110000.0,1305.0,3.0,3.0,Unfurnished,11.0,West,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2010.0,Malad,Rustomjee Elanza,99773.24263038549,90497.272227107,82083.69363002901,74452.32982315557,67530.4578894835,61252.11599953152,,,,,,,,,
3BHK Multistorey Apartment for Rent in Insignia at Bandra East,140000.0,2000.0,3.0,3.0,Semi-Furnished,20.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1989.0,Bandra,Insignia,126984.12698412698,115178.34647086346,104470.15552912783,94757.51068401618,85947.85549570627,77957.2385448583,70709.5134193726,64135.61307879601,58172.89168144762,52764.527602220056,47858.981952127026,43409.507439571,39373.70289303492,35713.109200031664,32392.8428118201
2BHK Multistorey Apartment for Rent in Kanakia Silicon Valley at Powai,80000.0,737.0,2.0,2.0,Unfurnished,10.0,North,"Pool, Garden/Park",Rent,Apartment,Mumbai,1978.0,Powai,Kanakia Silicon Valley,72562.358276644,65816.19798335055,59697.231730930194,54147.14896229496,49113.06028326073,44546.99345420474,40405.43623964148,36648.921759312005,33241.65238939864,30151.158629840033,27347.98968692973,24805.432822612,22499.258796019953,20407.490971446667,18510.19589246863
3BHK Multistorey Apartment for Rent in Ashford Royale at Mulund West,85500.0,1475.0,3.0,2.0,Semi-Furnished,13.0,North,"Garden/Park, Main Road",Rent,Apartment,Mumbai,1980.0,Mulund,Ashford Royale,77551.02040816327,70341.0615947059,63801.416412431645,57869.76545345274,52489.58317773491,47609.59925418132,43183.309981116836,39168.5351302647,35527.0159911698,32224.050785641535,29228.163977906148,26510.806329166575,24046.082838246322,21810.505975733624,19782.771860075845
1BHK Multistorey Apartment for Rent in Veena Senterio at Chembur,40000.0,425.0,1.0,1.0,Unfurnished,7.0,East,Main Road,Rent,Apartment,Mumbai,1980.0,Chembur,Veena Senterio,36281.179138322,32908.09899167527,29848.615865465097,27073.57448114748,24556.530141630366,22273.49672710237,20202.71811982074,18324.460879656002,16620.82619469932,15075.579314920016,13673.994843464865,12402.716411306,11249.629398009976,10203.745485723333,9255.097946234315
2BHK Multistorey Apartment for Rent in Lodha Primo at Parel,130000.0,1312.0,2.0,2.0,Semi-Furnished,25.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1990.0,Parel,Lodha Primo,117913.83219954648,106951.32172294463,97008.00156276156,87989.11706372931,79808.72296029869,72388.8643630827,65658.83388941741,59554.497858882,54017.685132772785,48995.632773490055,44440.48324126081,40308.828336744504,36561.295543532426,33162.17282860084,30079.06832526152
1BHK Multistorey Apartment for Rent in Godrej The Trees at Vikhroli East,50000.0,695.0,1.0,1.0,Unfurnished,5.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2003.0,Vikhroli,Godrej The Trees,45351.47392290249,41135.12373959409,37310.76983183137,33841.96810143435,30695.66267703796,27841.87090887796,25253.397649775925,22905.57609957,20776.03274337415,18844.47414365002,,,,,
2BHK Multistorey Apartment for Rent in Raheja Acropolis II at Deonar Govandi East,85000.0,850.0,2.0,2.0,Furnished,2.0,North - East,Garden/Park,Rent,Apartment,Mumbai,1994.0,Deonar,Raheja Acropolis II,77097.50566893423,69929.71035730996,63428.30871411333,57531.34577243839,52182.62655096453,47331.18054509254,42930.776004619074,38939.479369269,35319.255663736054,32035.606044205033,29057.23904236284,26355.77237402525,23905.4624707712,21682.959157162084,
